,DTH,HAS,current_yield,date,future_yield,image_num,name,pos,target_dry,target_fresh,tray
0,34.0,22.0,10.0,2015-12-14:12-54-06,450.0,1.0,PSI_Tray031_2015-12-14--12-54-06_top_1-1_4.png,p-1,220.0,266.0,31
1,33.0,23.0,10.0,2015-12-15:09-03-53,440.0,9.0,PSI_Tray031_2015-12-15--09-03-53_top_1-1_12.png,p-1,220.0,266.0,31
2,33.0,23.0,10.0,2015-12-15:13-33-56,440.0,10.0,PSI_Tray031_2015-12-15--13-33-56_top_1-1_13.png,p-1,220.0,266.0,31
3,32.0,24.0,10.0,2015-12-16:11-01-59,420.0,14.0,PSI_Tray031_2015-12-16--11-01-59_top_1-1_17.png,p-1,220.0,266.0,31
4,31.0,25.0,10.0,2015-12-16:15-02-22,410.0,29.0,PSI_Tray031_2015-12-16--15-02-22_top_1-1_32.png,p-1,220.0,266.0,31
5,31.0,25.0,10.0,2015-12-16:19-14-49,410.0,31.0,PSI_Tray031_2015-12-16--19-14-49_top_1-1_34.png,p-1,220.0,266.0,31
6,31.0,25.0,10.0,2015-12-17:09-03-55,410.0,37.0,PSI_Tray031_2015-12-17--09-03-55_top_1-1_40.png,p-1,220.0,266.0,31
7,31.0,25.0,10.0,2015-12-17:13-13-53,410.0,56.0,PSI_Tray031_2015-12-17--13-13-53_top_1-1_59.png,p-1,220.0,266.0,31
8,30.0,26.0,10.0,2015-12-17:18-06-56,390.0,66.0,PSI_Tray031_2015-12-17--18-06-56_top_1-1_69.png,p-1,220.0,266.0,31
9,30.0,26.0,10.0,2015-12-18:09-03-55,390.0,76.0,PSI_Tray031_2015-12-18--09-03-55_top_1-1_79.png,p-1,220.0,266.0,31
10,29.0,27.0,10.0,2015-12-18:16-34-21,380.0,86.0,PSI_Tray031_2015-12-18--16-34-21_top_1-1_89.png,p-1,220.0,266.0,31
11,29.0,27.0,10.0,2015-12-19:10-23-02,380.0,95.0,PSI_Tray031_2015-12-19--10-23-02_top_1-1_98.png,p-1,220.0,266.0,31
12,28.0,28.0,10.0,2015-12-19:16-49-06,370.0,110.0,PSI_Tray031_2015-12-19--16-49-06_top_1-1_113.png,p-1,220.0,266.0,31
13,28.0,28.0,10.0,2015-12-20:09-03-55,370.0,126.0,PSI_Tray031_2015-12-20--09-03-55_top_1-1_129.png,p-1,220.0,266.0,31
14,27.0,29.0,10.0,2015-12-20:16-23-44,350.0,142.0,PSI_Tray031_2015-12-20--16-23-44_top_1-1_145.png,p-1,220.0,266.0,31
15,27.0,29.0,10.0,2015-12-20:20-30-06,350.0,159.0,PSI_Tray031_2015-12-20--20-30-06_top_1-1_162.png,p-1,220.0,266.0,31
16,27.0,29.0,10.0,2015-12-21:09-17-08,350.0,160.0,PSI_Tray031_2015-12-21--09-17-08_top_1-1_163.png,p-1,220.0,266.0,31
17,27.0,29.0,10.0,2015-12-21:13-30-33,350.0,179.0,PSI_Tray031_2015-12-21--13-30-33_top_1-1_182.png,p-1,220.0,266.0,31
18,26.0,30.0,10.0,2015-12-21:20-32-51,340.0,195.0,PSI_Tray031_2015-12-21--20-32-51_top_1-1_198.png,p-1,220.0,266.0,31
19,26.0,30.0,10.0,2015-12-22:09-03-55,340.0,196.0,PSI_Tray031_2015-12-22--09-03-55_top_1-1_199.png,p-1,220.0,266.0,31
20,26.0,30.0,10.0,2015-12-22:13-04-09,340.0,214.0,PSI_Tray031_2015-12-22--13-04-09_top_1-1_217.png,p-1,220.0,266.0,31
21,25.0,31.0,10.0,2015-12-22:17-07-25,320.0,231.0,PSI_Tray031_2015-12-22--17-07-25_top_1-1_234.png,p-1,220.0,266.0,31
22,25.0,31.0,10.0,2015-12-23:09-03-56,320.0,245.0,PSI_Tray031_2015-12-23--09-03-56_top_1-1_248.png,p-1,220.0,266.0,31
23,25.0,31.0,10.0,2015-12-23:13-08-50,320.0,262.0,PSI_Tray031_2015-12-23--13-08-50_top_1-1_265.png,p-1,220.0,266.0,31
24,24.0,32.0,10.0,2015-12-23:17-28-41,310.0,275.0,PSI_Tray031_2015-12-23--17-28-41_top_1-1_278.png,p-1,220.0,266.0,31
25,24.0,32.0,10.0,2015-12-23:21-31-29,310.0,289.0,PSI_Tray031_2015-12-23--21-31-29_top_1-1_292.png,p-1,220.0,266.0,31
26,24.0,32.0,10.0,2015-12-24:09-03-58,310.0,295.0,PSI_Tray031_2015-12-24--09-03-58_top_1-1_298.png,p-1,220.0,266.0,31
27,24.0,32.0,10.0,2015-12-24:13-17-01,310.0,312.0,PSI_Tray031_2015-12-24--13-17-01_top_1-1_315.png,p-1,220.0,266.0,31
28,23.0,33.0,10.0,2015-12-24:17-47-19,300.0,316.0,PSI_Tray031_2015-12-24--17-47-19_top_1-1_319.png,p-1,220.0,266.0,31
29,23.0,33.0,10.0,2015-12-25:09-03-58,300.0,330.0,PSI_Tray031_2015-12-25--09-03-58_top_1-1_333.png,p-1,220.0,266.0,31
30,23.0,33.0,10.0,2015-12-25:13-05-16,300.0,336.0,PSI_Tray031_2015-12-25--13-05-16_top_1-1_339.png,p-1,220.0,266.0,31
31,22.0,34.0,10.0,2015-12-26:10-10-53,280.0,354.0,PSI_Tray031_2015-12-26--10-10-53_top_1-1_357.png,p-1,220.0,266.0,31
32,21.0,35.0,10.0,2015-12-26:14-13-36,270.0,372.0,PSI_Tray031_2015-12-26--14-13-36_top_1-1_375.png,p-1,220.0,266.0,31
33,21.0,35.0,10.0,2015-12-26:18-19-43,270.0,390.0,PSI_Tray031_2015-12-26--18-19-43_top_1-1_393.png,p-1,220.0,266.0,31
34,21.0,35.0,10.0,2015-12-27:09-38-14,270.0,391.0,PSI_Tray031_2015-12-27--09-38-14_top_1-1_394.png,p-1,220.0,266.0,31
35,21.0,35.0,10.0,2015-12-27:13-41-22,270.0,396.0,PSI_Tray031_2015-12-27--13-41-22_top_1-1_399.png,p-1,220.0,266.0,31
36,20.0,36.0,10.0,2015-12-27:17-47-46,250.0,414.0,PSI_Tray031_2015-12-27--17-47-46_top_1-1_417.png,p-1,220.0,266.0,31
37,20.0,36.0,10.0,2015-12-28:09-03-56,250.0,427.0,PSI_Tray031_2015-12-28--09-03-56_top_1-1_430.png,p-1,220.0,266.0,31
38,20.0,36.0,10.0,2015-12-28:13-07-42,250.0,445.0,PSI_Tray031_2015-12-28--13-07-42_top_1-1_448.png,p-1,220.0,266.0,31
39,19.0,37.0,10.0,2015-12-28:17-14-45,240.0,463.0,PSI_Tray031_2015-12-28--17-14-45_top_1-1_466.png,p-1,220.0,266.0,31
40,19.0,37.0,10.0,2015-12-29:10-05-16,240.0,468.0,PSI_Tray031_2015-12-29--10-05-16_top_1-1_471.png,p-1,220.0,266.0,31
41,18.0,38.0,10.0,2015-12-29:14-10-21,220.0,486.0,PSI_Tray031_2015-12-29--14-10-21_top_1-1_489.png,p-1,220.0,266.0,31
42,18.0,38.0,10.0,2015-12-29:18-18-50,220.0,504.0,PSI_Tray031_2015-12-29--18-18-50_top_1-1_507.png,p-1,220.0,266.0,31
43,18.0,38.0,10.0,2015-12-30:11-06-08,220.0,510.0,PSI_Tray031_2015-12-30--11-06-08_top_1-1_513.png,p-1,220.0,266.0,31
44,17.0,39.0,10.0,2015-12-30:19-05-24,210.0,526.0,PSI_Tray031_2015-12-30--19-05-24_top_1-1_529.png,p-1,220.0,266.0,31
45,17.0,39.0,10.0,2015-12-31:09-03-59,210.0,533.0,PSI_Tray031_2015-12-31--09-03-59_top_1-1_536.png,p-1,220.0,266.0,31
46,17.0,39.0,10.0,2015-12-31:13-08-55,210.0,550.0,PSI_Tray031_2015-12-31--13-08-55_top_1-1_553.png,p-1,220.0,266.0,31
47,16.0,40.0,10.0,2015-12-31:17-57-44,200.0,559.0,PSI_Tray031_2015-12-31--17-57-44_top_1-1_562.png,p-1,220.0,266.0,31
48,16.0,40.0,10.0,2016-01-01:09-34-15,200.0,571.0,PSI_Tray031_2016-01-01--09-34-15_top_1-1_574.png,p-1,220.0,266.0,31
49,15.0,41.0,10.0,2016-01-02:12-19-26,180.0,572.0,PSI_Tray031_2016-01-02--12-19-26_top_1-1_575.png,p-1,220.0,266.0,31
50,14.0,42.0,10.0,2016-01-02:18-34-02,170.0,586.0,PSI_Tray031_2016-01-02--18-34-02_top_1-1_589.png,p-1,220.0,266.0,31
51,14.0,42.0,10.0,2016-01-03:09-03-58,170.0,596.0,PSI_Tray031_2016-01-03--09-03-58_top_1-1_599.png,p-1,220.0,266.0,31
52,14.0,42.0,10.0,2016-01-03:13-11-11,170.0,602.0,PSI_Tray031_2016-01-03--13-11-11_top_1-1_605.png,p-1,220.0,266.0,31
53,13.0,43.0,10.0,2016-01-03:19-39-58,150.0,614.0,PSI_Tray031_2016-01-03--19-39-58_top_1-1_617.png,p-1,220.0,266.0,31
54,13.0,43.0,10.0,2016-01-04:09-04-00,150.0,619.0,PSI_Tray031_2016-01-04--09-04-00_top_1-1_622.png,p-1,220.0,266.0,31
55,12.0,44.0,10.0,2016-01-04:16-01-16,140.0,632.0,PSI_Tray031_2016-01-04--16-01-16_top_1-1_635.png,p-1,220.0,266.0,31
