DTH,HAS,current_yield,future_yield,image_num,target_dry,target_fresh,tray,pos
34,22,10,450,1,220,266,31,1
33,23,10,440,9,220,266,31,1
33,23,10,440,10,220,266,31,1
32,24,10,430,14,220,266,31,1
31,25,10,410,29,220,266,31,1
31,25,10,410,31,220,266,31,1
31,25,10,410,37,220,266,31,1
31,25,10,410,56,220,266,31,1
30,26,10,400,66,220,266,31,1
30,26,10,400,76,220,266,31,1
29,27,10,380,86,220,266,31,1
29,27,10,380,95,220,266,31,1
28,28,10,370,110,220,266,31,1
28,28,10,370,126,220,266,31,1
27,29,10,350,142,220,266,31,1
27,29,10,350,159,220,266,31,1
27,29,10,350,160,220,266,31,1
27,29,10,350,179,220,266,31,1
26,30,10,340,195,220,266,31,1
26,30,10,340,196,220,266,31,1
26,30,10,340,214,220,266,31,1
25,31,10,330,231,220,266,31,1
25,31,10,330,245,220,266,31,1
25,31,10,330,262,220,266,31,1
24,32,10,310,275,220,266,31,1
24,32,10,310,289,220,266,31,1
24,32,10,310,295,220,266,31,1
24,32,10,310,312,220,266,31,1
23,33,10,300,316,220,266,31,1
23,33,10,300,330,220,266,31,1
23,33,10,300,336,220,266,31,1
22,34,10,280,354,220,266,31,1
21,35,10,270,372,220,266,31,1
21,35,10,270,390,220,266,31,1
21,35,10,270,391,220,266,31,1
21,35,10,270,396,220,266,31,1
20,36,10,250,414,220,266,31,1
20,36,10,250,427,220,266,31,1
20,36,10,250,445,220,266,31,1
19,37,10,240,463,220,266,31,1
19,37,10,240,468,220,266,31,1
18,38,10,220,486,220,266,31,1
18,38,10,220,504,220,266,31,1
18,38,10,220,510,220,266,31,1
17,39,10,210,526,220,266,31,1
17,39,10,210,533,220,266,31,1
17,39,10,210,550,220,266,31,1
16,40,10,190,559,220,266,31,1
16,40,10,190,571,220,266,31,1
15,41,10,180,572,220,266,31,1
14,42,10,160,586,220,266,31,1
14,42,10,160,596,220,266,31,1
14,42,10,160,602,220,266,31,1
13,43,10,140,614,220,266,31,1
13,43,10,140,619,220,266,31,1
12,44,10,130,632,220,266,31,1
12,44,20,170,649,220,266,31,1
11,45,20,160,663,220,266,31,1
11,45,20,160,674,220,266,31,1
10,46,20,140,683,220,266,31,1
10,46,20,140,701,220,266,31,1
10,46,30,170,707,220,266,31,1
10,46,40,180,725,220,266,31,1
9,47,40,160,743,220,266,31,1
9,47,50,170,745,220,266,31,1
9,47,60,180,762,220,266,31,1
8,48,50,150,779,220,266,31,1
8,48,70,170,790,220,266,31,1
7,49,70,150,807,220,266,31,1
7,49,70,150,825,220,266,31,1
7,49,80,160,829,220,266,31,1
6,50,80,140,847,220,266,31,1
6,50,80,140,864,220,266,31,1
4,52,100,120,866,220,266,31,1
4,52,100,120,886,220,266,31,1
3,53,130,140,887,220,266,31,1
1,55,130,110,899,220,266,31,1
0,56,160,130,909,220,266,31,1
0,56,160,130,929,220,266,31,1
27,29,10,350,1,40,51.3,31,2
26,30,10,340,9,40,51.3,31,2
26,30,30,420,10,40,51.3,31,2
25,31,40,450,14,40,51.3,31,2
25,31,10,330,29,40,51.3,31,2
25,31,10,330,31,40,51.3,31,2
24,32,10,310,37,40,51.3,31,2
24,32,10,310,56,40,51.3,31,2
24,32,10,310,66,40,51.3,31,2
23,33,10,300,76,40,51.3,31,2
23,33,10,300,86,40,51.3,31,2
22,34,10,280,95,40,51.3,31,2
22,34,10,280,110,40,51.3,31,2
21,35,10,270,126,40,51.3,31,2
21,35,10,270,142,40,51.3,31,2
21,35,10,270,159,40,51.3,31,2
20,36,10,250,160,40,51.3,31,2
20,36,10,250,179,40,51.3,31,2
20,36,10,250,195,40,51.3,31,2
19,37,10,240,196,40,51.3,31,2
19,37,10,240,214,40,51.3,31,2
19,37,10,240,231,40,51.3,31,2
18,38,10,220,245,40,51.3,31,2
18,38,10,220,262,40,51.3,31,2
18,38,10,220,275,40,51.3,31,2
17,39,10,210,289,40,51.3,31,2
17,39,10,210,295,40,51.3,31,2
17,39,10,210,312,40,51.3,31,2
17,39,10,210,316,40,51.3,31,2
16,40,10,190,330,40,51.3,31,2
16,40,10,190,336,40,51.3,31,2
15,41,10,180,354,40,51.3,31,2
15,41,10,180,372,40,51.3,31,2
15,41,10,180,390,40,51.3,31,2
14,42,10,160,391,40,51.3,31,2
14,42,10,160,396,40,51.3,31,2
14,42,10,160,414,40,51.3,31,2
13,43,10,140,427,40,51.3,31,2
13,43,10,140,445,40,51.3,31,2
13,43,10,140,463,40,51.3,31,2
12,44,10,130,468,40,51.3,31,2
12,44,10,130,486,40,51.3,31,2
12,44,10,130,504,40,51.3,31,2
11,45,10,110,510,40,51.3,31,2
11,45,10,110,526,40,51.3,31,2
10,46,10,100,533,40,51.3,31,2
10,46,10,100,550,40,51.3,31,2
10,46,10,100,559,40,51.3,31,2
9,47,10,80,571,40,51.3,31,2
8,48,20,100,572,40,51.3,31,2
8,48,20,100,586,40,51.3,31,2
7,49,20,80,596,40,51.3,31,2
7,49,30,110,602,40,51.3,31,2
7,49,30,110,614,40,51.3,31,2
6,50,30,90,619,40,51.3,31,2
6,50,40,100,632,40,51.3,31,2
34,22,10,450,1,210,270.6,31,3
33,23,10,440,9,210,270.6,31,3
33,23,30,520,10,210,270.6,31,3
32,24,50,580,14,210,270.6,31,3
31,25,10,410,29,210,270.6,31,3
31,25,10,410,31,210,270.6,31,3
31,25,10,410,37,210,270.6,31,3
31,25,10,410,56,210,270.6,31,3
30,26,10,400,66,210,270.6,31,3
30,26,10,400,76,210,270.6,31,3
29,27,10,380,86,210,270.6,31,3
29,27,10,380,95,210,270.6,31,3
28,28,10,370,110,210,270.6,31,3
28,28,10,370,126,210,270.6,31,3
27,29,10,350,142,210,270.6,31,3
27,29,10,350,159,210,270.6,31,3
27,29,10,350,160,210,270.6,31,3
27,29,10,350,179,210,270.6,31,3
26,30,10,340,195,210,270.6,31,3
26,30,10,340,196,210,270.6,31,3
26,30,10,340,214,210,270.6,31,3
25,31,10,330,231,210,270.6,31,3
25,31,10,330,245,210,270.6,31,3
25,31,10,330,262,210,270.6,31,3
24,32,10,310,275,210,270.6,31,3
24,32,10,310,289,210,270.6,31,3
24,32,10,310,295,210,270.6,31,3
24,32,10,310,312,210,270.6,31,3
23,33,10,300,316,210,270.6,31,3
23,33,10,300,330,210,270.6,31,3
23,33,10,300,336,210,270.6,31,3
22,34,10,280,354,210,270.6,31,3
21,35,10,270,372,210,270.6,31,3
21,35,10,270,390,210,270.6,31,3
21,35,10,270,391,210,270.6,31,3
21,35,10,270,396,210,270.6,31,3
20,36,10,250,414,210,270.6,31,3
20,36,10,250,427,210,270.6,31,3
20,36,10,250,445,210,270.6,31,3
