,DTH,HAS,current_yield,date,future_yield,image_num,name,pos,target_dry,target_fresh,tray
1376,19,37,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_1-1_698.png,p-1,270,674.3,32
1478,9,47,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_1-2_698.png,p-2,50,59,32
1542,19,37,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_1-3_698.png,p-3,260,738.5,32
1644,17,39,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_1-4_698.png,p-4,160,209,32
1737,19,37,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_1-5_698.png,p-5,230,583.2,32
1839,10,46,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_2-1_698.png,p-6,10,156.8,32
1887,19,37,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_2-2_698.png,p-7,280,734.3,32
2015,19,37,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_2-4_698.png,p-9,110,277.1,32
2117,13,43,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_2-5_698.png,p-10,110,132,32
2199,19,37,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_3-1_698.png,p-11,190,549.6,32
2301,12,44,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_3-2_698.png,p-12,100,120,32
2383,19,37,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_3-3_698.png,p-13,250,637.4,32
2485,11,45,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_3-4_698.png,p-14,30,40,32
2549,19,37,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_3-5_698.png,p-15,250,637.2,32
2651,17,39,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_4-1_698.png,p-16,130,176,32
2744,19,37,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_4-2_698.png,p-17,270,688.8,32
2846,12,44,10,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_4-3_698.png,p-18,10,141.9,32
2894,19,37,20,2015-12-29:09-39-00,1,698,PSI_Tray032_2015-12-29--09-39-00_top_4-4_698.png,p-19,320,727.2,32
3022,19,37,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_1-1_698.png,p-1,280,752.3,33
3124,9,47,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_1-2_698.png,p-2,50,64.3,33
3188,19,37,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_1-3_698.png,p-3,290,803.4,33
3290,17,39,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_1-4_698.png,p-4,150,193,33
3383,19,37,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_1-5_698.png,p-5,270,680.4,33
3485,11,45,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_2-1_698.png,p-6,10,190.3,33
3533,19,37,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_2-2_698.png,p-7,230,639.3,33
3661,19,37,20,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_2-4_698.png,p-9,320,820.8,33
3763,12,44,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_2-5_698.png,p-10,90,118,33
3845,19,37,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_3-1_698.png,p-11,220,576.5,33
3947,12,44,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_3-2_698.png,p-12,100,133.4,33
4029,19,37,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_3-3_698.png,p-13,260,713.7,33
4131,10,46,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_3-4_698.png,p-14,40,58.4,33
4195,19,37,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_3-5_698.png,p-15,320,729.6,33
4297,17,39,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_4-1_698.png,p-16,120,157,33
4390,19,37,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_4-2_698.png,p-17,280,701.6,33
4492,9,47,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_4-3_698.png,p-18,10,174.7,33
4540,19,37,10,2015-12-29:09-39-49,1,698,PSI_Tray033_2015-12-29--09-39-49_top_4-4_698.png,p-19,290,804.2,33
4668,19,37,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_1-1_697.png,p-1,170,235.3,34
4770,11,45,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_1-2_697.png,p-2,30,38.8,34
4834,19,37,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_1-3_697.png,p-3,130,182.6,34
4936,17,39,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_1-4_697.png,p-4,150,184,34
5029,19,37,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_1-5_697.png,p-5,200,262.8,34
5131,12,44,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_2-1_697.png,p-6,8,131.6,34
5179,19,37,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_2-2_697.png,p-7,240,317.5,34
5307,19,37,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_2-4_697.png,p-9,220,288.7,34
5409,12,44,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_2-5_697.png,p-10,70,88.6,34
5491,19,37,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_3-1_697.png,p-11,180,243.7,34
5593,12,44,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_3-2_697.png,p-12,70,87.5,34
5675,19,37,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_3-3_697.png,p-13,260,344.7,34
5777,8,48,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_3-4_697.png,p-14,50,58.3,34
5841,19,37,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_3-5_697.png,p-15,340,439.8,34
5943,17,39,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_4-1_697.png,p-16,160,213,34
6036,19,37,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_4-2_697.png,p-17,220,295.6,34
6138,8,48,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_4-3_697.png,p-18,9,138.7,34
6186,19,37,10,2015-12-29:09-40-38,1,697,PSI_Tray034_2015-12-29--09-40-38_top_4-4_697.png,p-19,320,422.1,34
40,19,37,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_1-1_471.png,p-1,220,266,31
119,12,44,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_1-2_471.png,p-2,40,51.3,31
175,19,37,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_1-3_471.png,p-3,210,270.6,31
254,16,40,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_1-4_471.png,p-4,180,232,31
330,19,37,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_1-5_471.png,p-5,290,362.8,31
409,11,45,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_2-1_471.png,p-6,20,290.2,31
452,19,37,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_2-2_471.png,p-7,270,345.5,31
554,19,37,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_2-4_471.png,p-9,210,271.5,31
633,12,44,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_2-5_471.png,p-10,100,118,31
706,19,37,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_3-1_471.png,p-11,200,258.5,31
785,12,44,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_3-2_471.png,p-12,70,79,31
858,19,37,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_3-3_471.png,p-13,180,229.5,31
937,16,40,20,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_3-4_471.png,p-14,50,63.9,31
993,19,37,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_3-5_471.png,p-15,180,231.8,31
1072,16,40,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_4-1_471.png,p-16,120,165,31
1148,19,37,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_4-2_471.png,p-17,330,414.8,31
1227,11,45,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_4-3_471.png,p-18,9,149.8,31
1270,19,37,10,2015-12-29:10-05-16,1,468,PSI_Tray031_2015-12-29--10-05-16_top_4-4_471.png,p-19,140,172,31
1377,19,37,10,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_1-1_716.png,p-1,270,674.3,32
1479,9,47,10,2015-12-29:13-43-48,1,716,PSI_Tray032_2015-12-29--13-43-48_top_1-2_716.png,p-2,50,59,32
