,Unnamed: 0,Xm,Ym,Zm,cont,datetime,dry wt (mg),fresh wt (mg),image_num,leaf_area,norm_area,name,position,tray
0,78,0.09478774,0.11611,0.03181004,0.0345486,2016-01-17:13-54-08,220,266,929,147649,0.742271825,PSI_Tray031_2016-01-17--13-54-08_top_1-1_932.png,p-1,31
1,151,0.1050848,0.1109321,0.07126475,0.5395975,2016-01-10:20-35-38,40,51.3,864,72398,0.363964507,PSI_Tray031_2016-01-10--20-35-38_top_1-2_867.png,p-2,31
2,230,0.1209265,0.1486194,0.03951382,0.03842175,2016-01-17:13-54-08,210,270.6,929,165837,0.833707865,PSI_Tray031_2016-01-17--13-54-08_top_1-3_932.png,p-3,31
3,306,0.1138952,0.1397665,0.03640615,0.03888691,2016-01-14:11-47-44,180,232,887,161964,0.814237237,PSI_Tray031_2016-01-14--11-47-44_top_1-4_890.png,p-4,31
4,385,0.09763447,0.1210902,0.03095217,0.03758585,2016-01-17:13-54-08,290,362.8,929,169232,0.850775457,PSI_Tray031_2016-01-17--13-54-08_top_1-5_932.png,p-5,31
5,454,0.07732819,0.08134576,0.05175074,0.4914576,2016-01-09:15-34-20,20,290.2,807,109820,0.552095116,PSI_Tray031_2016-01-09--15-34-20_top_2-1_810.png,p-6,31
6,533,0.1128555,0.1398368,0.03493007,0.02461457,2016-01-17:13-54-08,270,345.5,929,173229,0.870869467,PSI_Tray031_2016-01-17--13-54-08_top_2-2_932.png,p-7,31
7,605,0.09668,0.1026596,0.06200628,0.5438666,2016-01-10:16-33-33,3,27.2,847,81140,0.407912928,PSI_Tray031_2016-01-10--16-33-33_top_2-3_850.png,p-8,31
8,684,0.1193267,0.1466045,0.03741047,0.03514184,2016-01-17:13-54-08,210,271.5,929,168495,0.847070357,PSI_Tray031_2016-01-17--13-54-08_top_2-4_932.png,p-9,31
9,757,0.1139942,0.1407211,0.03471727,0.04320757,2016-01-10:20-35-38,100,118,864,117823,0.592328381,PSI_Tray031_2016-01-10--20-35-38_top_2-5_867.png,p-10,31
10,836,0.1142718,0.1397445,0.03689697,0.0338121,2016-01-17:13-54-08,200,258.5,929,151571,0.761988789,PSI_Tray031_2016-01-17--13-54-08_top_3-1_932.png,p-11,31
11,909,0.1119456,0.1372277,0.035678,0.04570501,2016-01-10:20-35-38,70,79,864,93116,0.468119549,PSI_Tray031_2016-01-10--20-35-38_top_3-2_867.png,p-12,31
12,988,0.1167797,0.1434029,0.03583017,0.03071598,2016-01-17:13-54-08,180,229.5,929,160539,0.807073373,PSI_Tray031_2016-01-17--13-54-08_top_3-3_932.png,p-13,31
13,1064,0.08523198,0.09094177,0.05473425,0.4812756,2016-01-14:11-47-44,50,63.9,887,95666,0.480939095,PSI_Tray031_2016-01-14--11-47-44_top_3-4_890.png,p-14,31
14,1143,0.1079585,0.1331407,0.03384345,0.02809926,2016-01-17:13-54-08,180,231.8,929,153314,0.770751326,PSI_Tray031_2016-01-17--13-54-08_top_3-5_932.png,p-15,31
15,1219,0.1162276,0.1393265,0.04089834,0.03707662,2016-01-14:11-47-44,120,165,887,144127,0.724565769,PSI_Tray031_2016-01-14--11-47-44_top_4-1_890.png,p-16,31
16,1298,0.1167367,0.1426118,0.0393747,0.03335924,2016-01-17:13-54-08,330,414.8,929,177045,0.89005354,PSI_Tray031_2016-01-17--13-54-08_top_4-2_932.png,p-17,31
17,1369,0.1221699,0.1282375,0.08184203,0.5920184,2016-01-10:09-04-00,9,149.8,829,54030,0.271623558,PSI_Tray031_2016-01-10--09-04-00_top_4-3_832.png,p-18,31
18,1448,0.128882,0.1555924,0.04369628,0.03217872,2016-01-17:13-54-08,140,172,929,144967,0.728788679,PSI_Tray031_2016-01-17--13-54-08_top_4-4_932.png,p-19,31
19,1523,0.08073738,0.08442895,0.05373197,0.4470467,2016-01-12:19-57-38,3,41.4,886,101569,0.510615087,PSI_Tray031_2016-01-12--19-57-38_top_4-5_889.png,p-20,31
20,1625,0.1046252,0.1294654,0.03442951,0.04038464,2016-01-18:09-04-26,270,674.3,1676,177616,0.892924113,PSI_Tray032_2016-01-18--09-04-26_top_1-1_1676.png,p-1,32
21,1697,0.06988019,0.07305124,0.04762335,0.4264036,2016-01-07:17-24-51,50,59,1142,124182,0.62429681,PSI_Tray032_2016-01-07--17-24-51_top_1-2_1142.png,p-2,32
22,1799,0.1198822,0.1496893,0.03783195,0.07262863,2016-01-18:09-04-26,260,738.5,1676,172988,0.869657894,PSI_Tray032_2016-01-18--09-04-26_top_1-3_1676.png,p-3,32
23,1892,0.1075394,0.1333338,0.03329473,0.04322115,2016-01-15:10-05-01,160,209,1523,146365,0.735816806,PSI_Tray032_2016-01-15--10-05-01_top_1-4_1523.png,p-4,32
24,1994,0.105852,0.1314776,0.03420194,0.04697642,2016-01-18:09-04-26,230,583.2,1676,167425,0.841691175,PSI_Tray032_2016-01-18--09-04-26_top_1-5_1676.png,p-5,32
25,2069,0.07316405,0.07703081,0.04782908,0.5091494,2016-01-08:17-27-12,10,156.8,1193,102055,0.513058342,PSI_Tray032_2016-01-08--17-27-12_top_2-1_1193.png,p-6,32
26,2171,0.1165442,0.1459145,0.03511825,0.03603198,2016-01-18:09-04-26,280,734.3,1676,179488,0.902335168,PSI_Tray032_2016-01-18--09-04-26_top_2-2_1676.png,p-7,32
27,2246,0.09820534,0.1030134,0.06419245,0.5244783,2016-01-08:17-27-12,7,69.5,1193,85065,0.427644974,PSI_Tray032_2016-01-08--17-27-12_top_2-3_1193.png,p-8,32
28,2348,0.1178208,0.1459955,0.03288802,0.03733247,2016-01-18:09-04-26,110,277.1,1676,112628,0.566211698,PSI_Tray032_2016-01-18--09-04-26_top_2-4_1676.png,p-9,32
29,2431,0.08732062,0.09380147,0.0541894,0.5233998,2016-01-11:16-43-36,110,132,1325,69741,0.350607043,PSI_Tray032_2016-01-11--16-43-36_top_2-5_1325.png,p-10,32
30,2533,0.1161006,0.1434256,0.0370293,0.02945496,2016-01-18:09-04-26,190,549.6,1676,174553,0.877525576,PSI_Tray032_2016-01-18--09-04-26_top_3-1_1676.png,p-11,32
